Date,Value,Comment,Comment
2001-02-01T00:00:00.000+02:00,21.1,Historical data not yet verfied,
2001-01-01T00:00:00.000+02:00,58.9,Historical data not yet verfied,
2000-12-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2000-11-01T00:00:00.000+02:00,32.7,Historical data not yet verfied,
2000-10-01T00:00:00.000+02:00,7.3,Historical data not yet verfied,
2000-09-01T00:00:00.000+02:00,19.9,Historical data not yet verfied,26B - Vol
2000-08-01T00:00:00.000+02:00,76.6,Historical data not yet verfied,
2000-07-01T00:00:00.000+02:00,22.8,Historical data not yet verfied,
2000-06-01T00:00:00.000+02:00,132.8,Historical data not yet verfied,
2000-05-01T00:00:00.000+02:00,168.5,Historical data not yet verfied,
2000-04-01T00:00:00.000+02:00,28,Historical data not yet verfied,
2000-03-01T00:00:00.000+02:00,18.2,Historical data not yet verfied,
2000-02-01T00:00:00.000+02:00,1.3,Historical data not yet verfied,
2000-01-01T00:00:00.000+02:00,39.9,Historical data not yet verfied,
1999-12-01T00:00:00.000+02:00,7.4,Historical data not yet verfied,
1999-11-01T00:00:00.000+02:00,35.7,Historical data not yet verfied,
1999-10-01T00:00:00.000+02:00,14.6,Historical data not yet verfied,
1999-09-01T00:00:00.000+02:00,198.3,Historical data not yet verfied,
1999-08-01T00:00:00.000+02:00,262.2,Historical data not yet verfied,5B/21B - Vol
1999-07-01T00:00:00.000+02:00,191.1,Historical data not yet verfied,
1999-06-01T00:00:00.000+02:00,161,Historical data not yet verfied,
1999-05-01T00:00:00.000+02:00,105.6,Historical data not yet verfied,
1999-04-01T00:00:00.000+02:00,117.3,Historical data not yet verfied,
1999-03-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1999-02-01T00:00:00.000+02:00,5,Historical data not yet verfied,
1999-01-01T00:00:00.000+02:00,4.1,Historical data not yet verfied,
1998-12-01T00:00:00.000+02:00,112.8,Historical data not yet verfied,
1998-11-01T00:00:00.000+02:00,34.9,Historical data not yet verfied,
1998-10-01T00:00:00.000+02:00,120.1,Historical data not yet verfied,
1998-09-01T00:00:00.000+02:00,75.3,Historical data not yet verfied,
1998-08-01T00:00:00.000+02:00,157.8,Historical data not yet verfied,
1998-07-01T00:00:00.000+02:00,189.7,Historical data not yet verfied,5B - Dop le op die grond
1998-06-01T00:00:00.000+02:00,180.6,Historical data not yet verfied,
1998-05-01T00:00:00.000+02:00,,Historical data not yet verfied, 5B/21B/25B/26B - Vol
1998-04-01T00:00:00.000+02:00,84.8,Historical data not yet verfied,
1998-03-01T00:00:00.000+02:00,41.5,Historical data not yet verfied,
1998-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1998-01-01T00:00:00.000+02:00,8.3,Historical data not yet verfied,
1997-12-01T00:00:00.000+02:00,40.3,Historical data not yet verfied,
1997-11-01T00:00:00.000+02:00,222.8,Historical data not yet verfied,
1997-10-01T00:00:00.000+02:00,28.3,Historical data not yet verfied,
1997-09-01T00:00:00.000+02:00,72.7,Historical data not yet verfied,
1997-08-01T00:00:00.000+02:00,181.3,Historical data not yet verfied,
1997-07-01T00:00:00.000+02:00,59.3,Historical data not yet verfied,
1997-06-01T00:00:00.000+02:00,303.7,Historical data not yet verfied,
1997-05-01T00:00:00.000+02:00,156.5,Historical data not yet verfied,
1997-04-01T00:00:00.000+02:00,94,Historical data not yet verfied,
1997-03-01T00:00:00.000+02:00,27.8,Historical data not yet verfied,
1997-02-01T00:00:00.000+02:00,18.9,Historical data not yet verfied,
1997-01-01T00:00:00.000+02:00,69.9,Historical data not yet verfied,
1996-12-01T00:00:00.000+02:00,98.7,Historical data not yet verfied,
1996-11-01T00:00:00.000+02:00,81.3,Historical data not yet verfied,
1996-10-01T00:00:00.000+02:00,260,Historical data not yet verfied,
1996-09-01T00:00:00.000+02:00,197.4,Historical data not yet verfied,
1996-08-01T00:00:00.000+02:00,224.2,Historical data not yet verfied,
1996-07-01T00:00:00.000+02:00,219.9,Historical data not yet verfied,
1996-06-01T00:00:00.000+02:00,294.1,Historical data not yet verfied,
1996-05-01T00:00:00.000+02:00,21.2,Historical data not yet verfied,
1996-04-01T00:00:00.000+02:00,146.8,Historical data not yet verfied,combined rainfall for March & April
1996-03-01T00:00:00.000+02:00,,Historical data not yet verfied,
1996-02-01T00:00:00.000+02:00,83,Historical data not yet verfied,CSIR stopped taking readings from these stations
1996-01-01T00:00:00.000+02:00,0.6,Historical data not yet verfied,
1995-12-01T00:00:00.000+02:00,74.2,Historical data not yet verfied,CSIR stopped taking readings from these stations
1995-11-01T00:00:00.000+02:00,10.7,Historical data not yet verfied,
