Date,Value,Comment,Comment
2001-05-01T00:00:00.000+02:00,283.094,Historical data not yet verfied,25B Mense was hier by die reenmeter
2001-04-01T00:00:00.000+02:00,97.504,Historical data not yet verfied,
2001-03-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2001-02-01T00:00:00.000+02:00,17.174,Historical data not yet verfied,
2001-01-01T00:00:00.000+02:00,4.6536,Historical data not yet verfied,
2000-12-01T00:00:00.000+02:00,0,Historical data not yet verfied,
2000-11-01T00:00:00.000+02:00,29.916,Historical data not yet verfied,
2000-10-01T00:00:00.000+02:00,12.5204,Historical data not yet verfied,
2000-09-01T00:00:00.000+02:00,23.4896,Historical data not yet verfied,26B - Vol
2000-08-01T00:00:00.000+02:00,64.7072,Historical data not yet verfied,
2000-07-01T00:00:00.000+02:00,26.4812,Historical data not yet verfied,
2000-06-01T00:00:00.000+02:00,141.824,Historical data not yet verfied,
2000-05-01T00:00:00.000+02:00,192.6812,Historical data not yet verfied,
2000-04-01T00:00:00.000+02:00,22.9356,Historical data not yet verfied,
2000-03-01T00:00:00.000+02:00,24.8192,Historical data not yet verfied,
2000-02-01T00:00:00.000+02:00,2.9916,Historical data not yet verfied,
2000-01-01T00:00:00.000+02:00,63.4884,Historical data not yet verfied,
1999-12-01T00:00:00.000+02:00,11.8556,Historical data not yet verfied,
1999-11-01T00:00:00.000+02:00,46.8684,Historical data not yet verfied,
1999-10-01T00:00:00.000+02:00,17.3956,Historical data not yet verfied,
1999-09-01T00:00:00.000+02:00,203.0964,Historical data not yet verfied,
1999-08-01T00:00:00.000+02:00,161.214,Historical data not yet verfied,5B/21B - Vol
1999-07-01T00:00:00.000+02:00,203.0964,Historical data not yet verfied,
1999-06-01T00:00:00.000+02:00,174.2884,Historical data not yet verfied,
1999-05-01T00:00:00.000+02:00,114.2348,Historical data not yet verfied,
1999-04-01T00:00:00.000+02:00,114.2348,Historical data not yet verfied,
1999-03-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1999-02-01T00:00:00.000+02:00,5.0968,Historical data not yet verfied,
1999-01-01T00:00:00.000+02:00,3.878,Historical data not yet verfied,
1998-12-01T00:00:00.000+02:00,102.0468,Historical data not yet verfied,
1998-11-01T00:00:00.000+02:00,29.8052,Historical data not yet verfied,
1998-10-01T00:00:00.000+02:00,129.082,Historical data not yet verfied,
1998-09-01T00:00:00.000+02:00,81.3272,Historical data not yet verfied,
1998-08-01T00:00:00.000+02:00,152.7932,Historical data not yet verfied,
1998-07-01T00:00:00.000+02:00,4.3212,Historical data not yet verfied,5B - Dop le op die grond
1998-06-01T00:00:00.000+02:00,174.8424,Historical data not yet verfied,
1998-05-01T00:00:00.000+02:00,,Historical data not yet verfied, 5B/21B/25B/26B - Vol
1998-04-01T00:00:00.000+02:00,74.5684,Historical data not yet verfied,
1998-03-01T00:00:00.000+02:00,39.5556,Historical data not yet verfied,
1998-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1998-01-01T00:00:00.000+02:00,31.7996,Historical data not yet verfied,
1997-12-01T00:00:00.000+02:00,49.5276,Historical data not yet verfied,
1997-11-01T00:00:00.000+02:00,231.2396,Historical data not yet verfied,
1997-10-01T00:00:00.000+02:00,28.1432,Historical data not yet verfied,
1997-09-01T00:00:00.000+02:00,64.1532,Historical data not yet verfied,
1997-08-01T00:00:00.000+02:00,181.3796,Historical data not yet verfied,
1997-07-01T00:00:00.000+02:00,60.6076,Historical data not yet verfied,
1997-06-01T00:00:00.000+02:00,326.0844,Historical data not yet verfied,
1997-05-01T00:00:00.000+02:00,153.3472,Historical data not yet verfied,
1997-04-01T00:00:00.000+02:00,101.8252,Historical data not yet verfied,
1997-03-01T00:00:00.000+02:00,26.7028,Historical data not yet verfied,
1997-02-01T00:00:00.000+02:00,19.2792,Historical data not yet verfied,
1997-01-01T00:00:00.000+02:00,65.1504,Historical data not yet verfied,
1996-12-01T00:00:00.000+02:00,90.1912,Historical data not yet verfied,
1996-11-01T00:00:00.000+02:00,82.2136,Historical data not yet verfied,
1996-10-01T00:00:00.000+02:00,274.6732,Historical data not yet verfied,
1996-09-01T00:00:00.000+02:00,210.7416,Historical data not yet verfied,
1996-08-01T00:00:00.000+02:00,241.4332,Historical data not yet verfied,
1996-07-01T00:00:00.000+02:00,233.1232,Historical data not yet verfied,
1996-06-01T00:00:00.000+02:00,319.104,Historical data not yet verfied,
1996-05-01T00:00:00.000+02:00,20.6088,Historical data not yet verfied,
1996-04-01T00:00:00.000+02:00,145.9236,Historical data not yet verfied,combined rainfall for March & April
1996-03-01T00:00:00.000+02:00,,Historical data not yet verfied,
1996-02-01T00:00:00.000+02:00,82.2136,Historical data not yet verfied,CSIR stopped taking readings from these stations
1996-01-01T00:00:00.000+02:00,3.5456,Historical data not yet verfied,
1995-12-01T00:00:00.000+02:00,68.8068,Historical data not yet verfied,CSIR stopped taking readings from these stations
1995-11-01T00:00:00.000+02:00,10.9692,Historical data not yet verfied,
1995-10-01T00:00:00.000+02:00,172.848,Historical data not yet verfied,
1995-09-01T00:00:00.000+02:00,67.3664,Historical data not yet verfied,
