site_name,lat,long,Area(km2),Forest typ,C,rvalue_1
245,-38.918081999999900,-72.620907000000000,2.890000000000000,CF,S,1036.000000000000000
217,-38.614683999999900,-72.230714000000000,2.890000000000000,CF,S,1060.000000000000000
246,-38.485889999999900,-72.400445000000000,2.890000000000000,CF,S,1068.000000000000000
91,-37.918453000000000,-73.072946999999900,2.890000000000000,CF,S,1054.000000000000000
195,-37.909999999999900,146.020000000000000,2.890000000000000,CF,S,1288.000000000000000
267,-37.780000000000000,145.620000000000000,2.890000000000000,CF,S,1393.000000000000000
218,-37.763142999999900,-72.233637999999900,0.250000000000000,CF,S,1227.000000000000000
312,-37.759999999999900,145.849999999999000,1.470000000000000,CF,S,1260.000000000000000
241,-37.680224000000000,145.544784999999000,2.480000000000000,BF,S,1373.000000000000000
122,-37.575575000000000,145.630275000000000,119.000000000000000,MF,S,1255.000000000000000
78,-37.503878000000000,146.106763999999000,54.000000000000000,MF,S,1231.000000000000000
79,-37.503878000000000,146.106763999999000,104.000000000000000,MF,S,1231.000000000000000
213,-37.503878000000000,146.106763999999000,130.000000000000000,MF,S,1231.000000000000000
214,-37.503878000000000,146.106763999999000,0.810000000000000,CF,S,1231.000000000000000
215,-37.503878000000000,146.106763999999000,43.500000000000000,BF,S,1231.000000000000000
219,-37.503878000000000,146.106763999999000,26.500000000000000,BF,S,1231.000000000000000
133,-37.503878000000000,146.106763999999000,39.799999999999900,BF,S,1231.000000000000000
135,-37.503878000000000,146.106763999999000,177.099999999999000,BF,S,1231.000000000000000
136,-37.503878000000000,146.106763999999000,39.299999999999900,BF,S,1231.000000000000000
138,-37.503878000000000,146.106763999999000,233.000000000000000,BF,S,1231.000000000000000
140,-37.503878000000000,146.106763999999000,345.899999999999000,BF,S,1231.000000000000000
141,-37.503878000000000,146.106763999999000,46.299999999999900,BF,S,1231.000000000000000
159,-37.333333330000000,149.583333299999000,24.500000000000000,BF,S,1286.000000000000000
160,-37.333333330000000,149.583333299999000,22.899999999999900,BF,S,1286.000000000000000
165,-37.333333330000000,149.583333299999000,47.100000000000000,BF,S,1286.000000000000000
239,-37.333333330000000,149.583333299999000,41.500000000000000,BF,S,1286.000000000000000
240,-37.333333330000000,149.583333299999000,3.080000000000000,BF,S,1286.000000000000000
268,-37.333333330000000,149.583333299999000,2.700000000000000,BF,S,1286.000000000000000
297,-36.751291000000000,149.627168000000000,36.299999999999900,BF,S,1405.000000000000000
300,-36.751291000000000,149.627168000000000,6.850000000000000,BF,S,1405.000000000000000
248,-35.011000000000000,148.342999999999000,7.700000000000000,BF,S,1625.000000000000000
210,-34.485300000000000,116.328787000000000,0.120000000000000,BF,S,1542.000000000000000
131,-34.290999999999900,115.248000000000000,0.120000000000000,BF,S,1680.000000000000000
311,-34.173833830000000,116.379359800000000,0.290000000000000,BF,S,1644.000000000000000
77,-33.972499999999900,18.948888889999900,0.400000000000000,BF,S,1666.000000000000000
194,-33.968055560000000,18.941388889999900,1.964000000000000,BF,S,1665.000000000000000
85,-33.962222220000000,18.931111110000000,0.270000000000000,BF,S,1686.000000000000000
184,-33.962222220000000,18.931111110000000,3.910000000000000,BF,S,1686.000000000000000
278,-33.950000000000000,18.250000000000000,0.090000000000000,BF,S,
269,-33.950000000000000,18.250000000000000,0.010000000000000,CF,S,
298,-33.420999999999900,115.989000000000000,0.010000000000000,CF,S,1750.000000000000000
279,-33.373992000000000,148.997546999999000,1.000000000000000,BF,S,1356.000000000000000
280,-33.373992000000000,148.997546999999000,1.420000000000000,BF,S,1356.000000000000000
99,-33.372396999999900,149.002836000000000,21.850000000000000,BF,S,1377.000000000000000
98,-33.369493980000000,149.002449700000000,0.528000000000000,MF,S,1377.000000000000000
67,-33.320470000000000,115.788242999999000,8.080000000000000,BF,S,1970.000000000000000
167,-33.117401000000000,115.922310999999000,1.180000000000000,MF,S,1921.000000000000000
72,-32.211528160000000,151.727788199999000,1.570000000000000,BF,S,1512.000000000000000
83,-32.211528160000000,151.727788199999000,1.000000000000000,BF,S,1512.000000000000000
103,-32.211528160000000,151.727788199999000,1.240000000000000,CF,S,1512.000000000000000
182,-32.211528160000000,151.727788199999000,0.133000000000000,BF,S,1512.000000000000000
191,-32.211528160000000,151.727788199999000,0.308000000000000,BF,S,1512.000000000000000
100,-32.211528160000000,151.727788199999000,0.015000000000000,BF,S,1512.000000000000000
286,-29.833333329999900,29.833333329999900,0.364000000000000,CF,S,1586.000000000000000
94,-29.000000000000000,29.250000000000000,0.350000000000000,BF,S,1589.000000000000000
93,-28.925207000000000,29.134798000000000,0.010000000000000,BF,S,1455.000000000000000
212,-25.283333330000000,30.566666670000000,1.200000000000000,BF,S,1665.000000000000000
221,-17.317791000000000,145.949769000000000,0.377000000000000,BF,S,1849.000000000000000
200,-14.117072000000000,30.163542000000000,0.592000000000000,BF,S,2209.000000000000000
211,-8.833333000000000,33.466667000000000,7.000000000000000,BF,S,1431.000000000000000
216,-3.029621000000000,-78.442110999999900,438.000000000000000,MF,S,1223.000000000000000
183,-2.886970000000000,-79.017008000000000,345.000000000000000,MF,S,1153.000000000000000
188,-1.216667000000000,36.633333000000000,65.000000000000000,MF,S,1457.000000000000000
189,-1.216667000000000,36.633333000000000,401.000000000000000,CF,S,1457.000000000000000
197,-1.200000000000000,36.600000000000000,0.630000000000000,CF,S,1437.000000000000000
226,-1.200000000000000,36.600000000000000,252.000000000000000,MF,S,1437.000000000000000
301,-1.200000000000000,36.600000000000000,33.899999999999900,CF,S,1437.000000000000000
